_id,TRACKINGNUMBER,NAME,PHYSICALADDRESS,PHYSICALCITY,FACTYPE,LATITUDE,LONGITUDE
167,SHEN-A34Q6W,Fast Donair & Falafel,6820 188 St,Surrey,Restaurant,49.12660599,-122.70143127
168,HHIN-B65QE3,Maritime Seafoods Inc.,19162 22 Ave,Surrey,Restaurant,49.04185104,-122.69278717
169,SPLH-ASNP2T,7-Eleven #38206,19161 Fraser Hwy,Surrey,Restaurant,49.11961365,-122.69181824
170,SWOD-AHJP6S,Non Stop Pizza & Curry,19188 72 Ave,Surrey,Restaurant,49.13346481,-122.6915741
171,SWOD-AQNTUW,Ramada Hotel - Breakfast Bar,19225 No 10 Hwy,Surrey,Restaurant,49.10466385,-122.69026947
172,SHEN-BCSVDK,Haru Japanese Restaurant,19390 68 Ave,Surrey,Restaurant,49.12623978,-122.68582153
173,A019739    ,Baskin-Robbins Ice Cream #5321,19585 Fraser Hwy,Surrey,Restaurant,49.11428452,-122.68011475
174,NDAA-9ENPNZ,Sushi Topia,6350 120 St,Surrey,Restaurant,49.11815643,-122.89006042
175,A018517    ,My Greek Taverna,6450 120 St,Surrey,Restaurant,49.12012482,-122.89008331
176,GEDS-7HVV7W,Apna Chaat House,7500 120 St,Surrey,Restaurant,49.13913727,-122.89006805
177,HCAR-BGUPAC,Showshaa,7500 120 St,Surrey,Restaurant,49.13913727,-122.89006805
178,SWOD-AL5UUH,Sahota's Live Grill,7548 120 St,Surrey,Restaurant,49.13980865,-122.89000702
179,SODN-65HUKF,Panago #10,8556 120 St,Surrey,Restaurant,49.15831757,-122.89006805
180,SHEN-ATTV6D,Kerala Kitchen,9386 120 St,Surrey,Restaurant,49.17370605,-122.88991547
181,HCAR-BENQ5Q,Pizza Factory,12030 80 Ave,Surrey,Restaurant,49.14840317,-122.88916016
182,SHEN-9YTTFZ,Booster Juice #278,12080 Nordel Way,Surrey,Restaurant,49.16109848,-122.88860321
183,JDSO-ADJN3Q,Funplex,12070 88 Ave,Surrey,Restaurant,49.16306686,-122.88829803
184,SDFO-8HEPAH,KFC #1838,12121 72 Ave,Surrey,Restaurant,49.1342659,-122.88751984
185,NDAA-9NTQ34,Nando's Flame-Grilled Chicken (72nd Ave),12101 72 Ave,Surrey,Restaurant,49.1350174,-122.88764191
186,GEDS-6WVQM8,PICS - Assisted Living Food Service,12075 75A Ave,Surrey,Restaurant,49.14031601,-122.88793945
187,SWOD-9XJUAY,Donegal's Pub,12054 96 Ave,Surrey,Restaurant,49.17699432,-122.8875885
188,GEDS-65QN9E,Cineplex Odeon,12161 72 Ave,Surrey,Restaurant,49.13501358,-122.8864975
189,SDFO-8MELM2,Breakthrough Lodge,2695 McBride Ave,Surrey,Restaurant,49.05179214,-122.88394928
190,A016609    ,Red Baron Restaurant,12180 Beecher St,Surrey,Restaurant,49.05223083,-122.88426971
191,PGOO-665TGZ,Lakwon Rice Bakery,12520 Old Yale Rd,Surrey,Restaurant,49.197052,-122.8753891
192,NDAA-A3VQ76,Rose Sweets & Tandoori Hut,12565 88 Ave,Surrey,Restaurant,49.16401672,-122.87477875
193,GEDS-5ZZQLL,Great Pizza 2 For 1,12578 72 Ave,Surrey,Restaurant,49.13327408,-122.87416077
194,MARO-B3GPES,Ekam's Sundae Delight,7750 128 St,Surrey,Restaurant,49.14358139,-122.86765289
195,HCAR-B52TJM,Crispy Falafel,9627 128 St,Surrey,Restaurant,49.17775726,-122.86821747
196,SDFO-8F2KW3,Sakuya Sushi,1593 128 St,Surrey,Restaurant,49.0310173,-122.86779022
197,ACAK-8XKMAF,7-Eleven #35770,6828 128 St,Surrey,Restaurant,49.12696075,-122.86753082
198,SHEN-AKHT58,Mughal Palace Restaurant,12827 76 Ave,Surrey,Restaurant,49.14117432,-122.86715698
199,SHEN-AP8NJL,Pho 99 Express,12837 76 Ave,Surrey,Restaurant,49.14118576,-122.8666687
200,HCAR-BLXMYK,Tandoori Town Indian Kitchen,8050 128th St,Surrey,Restaurant,49.14875797,-122.86677848
201,NDAA-ALQN84,Crawford Manor,10010 128 St,Surrey,Restaurant,49.18468094,-122.86738586
202,SWOD-AF3QGR,Pacific Pizza,12817 Old Yale Rd,Surrey,Restaurant,49.19783783,-122.86701965
203,A018261    ,Dhoom Restaurant & Bar,7938 128 St,Surrey,Restaurant,49.14687347,-122.86576843
204,SWOD-9Y2MB7,Lahori Sweets & Restaurant,12877 80 Ave,Surrey,Restaurant,49.14842987,-122.86514282
205,A013876    ,Gurdwara Sahib Dasmesh Darbar,12885 85 Ave,Surrey,Restaurant,49.1578064,-122.86528015
206,ACAK-8XKQ6L,Sikh Academy,12895 85 Ave,Surrey,Restaurant,49.15761185,-122.86500549
207,KSMH-AQWTG2,Pizza 85,8553 132 St,Surrey,Restaurant,49.15823746,-122.85771179
208,SPLH-9P8V42,GB Foods & Sherlocks Imports,13369 72 Ave,Surrey,Restaurant,49.13383484,-122.85309601
209,A019219    ,Whalley Ball Park Green Concession,13350 105A Ave,Surrey,Restaurant,49.19308472,-122.85269165
210,SDFO-8LBUNQ,Gateway Java,13401 108 Ave,Surrey,Restaurant,49.19909286,-122.85025787
211,HCAR-AU9VCN,Nesters Market - Deli Department,10835 City Pky,Surrey,Restaurant,49.19953156,-122.84906006
212,SNOE-AE2SZG,Divine Delicacies,13483 78 Ave,Surrey,Restaurant,49.14465332,-122.84850311
213,NDAA-9BXTB7,Blenz Central City,13450 102 Ave,Surrey,Restaurant,49.18791962,-122.84877014
214,SHEN-B5KSUZ,Umami Ramen,10302 City Pky,Surrey,Restaurant,49.18995667,-122.84738922
215,GEDS-7ELT6P,Hilton Villa Care Centre Partnership,13525 Hilton Rd,Surrey,Restaurant,49.20227814,-122.8470459
216,A018086    ,McDonald's #8250,13565 72 Ave,Surrey,Restaurant,49.13372421,-122.84680939
217,GEDS-673PBP,Subway #30456,13578 88 Ave,Surrey,Restaurant,49.16252518,-122.84701538
218,HCAR-BEUT8B,Union Latinos Food,13569 105A Ave,Surrey,Restaurant,49.19459534,-122.84626007
219,SDFO-8MCPDC,Ken's Tea House,10692 135A St,Surrey,Restaurant,49.19701004,-122.84669495
220,SHEN-9PHPWJ,King George Pizza,7093 King George Blvd,Surrey,Restaurant,49.13100433,-122.84599304
221,HCAR-BS2PXM,Organic Warehouse - Juices & Smoothies,7093 King George Blvd,Surrey,Restaurant,49.13100319,-122.84598983
222,GEDS-6A5QDU,Tim Hortons #2530,7195 King George Blvd,Surrey,Restaurant,49.13306427,-122.84596252
223,GEDS-78BTNS,X-Fuel Nutrition Inc,7635 King George Blvd,Surrey,Restaurant,49.14163971,-122.84596252
224,SPLH-9KKLFZ,Mac's Convenience Store #11159,8007 King George Blvd,Surrey,Restaurant,49.14850998,-122.84605408
225,MARO-AZEUHB,Dairy Queen #27001,9436 King George Blvd,Surrey,Restaurant,49.17441177,-122.84552765
226,SPLH-A9VTH3,Browns Socialhouse (Surrey Centre),9666 King George Blvd,Surrey,Restaurant,49.17871857,-122.84526062
227,A019835   ,Boston Pizza #74,1081 Central City,Surrey,Restaurant,49.18592247,-122.84584777
228,A018782    ,Subway #17467,10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
229,SHEN-A7TNAC,Wal-mart Supercentre #1205 - Deli,10153 King George Blvd,Surrey,Restaurant,49.18592072,-122.84584808
230,ACAK-8XGT5P,PSI Sushi & Roll,10245 King George Blvd,Surrey,Restaurant,49.188797,-122.84552765
231,HCAR-B5GM6G,Rickshaw Chinese Food Whalley Co,10505 King George Blvd,Surrey,Restaurant,49.19345474,-122.84566498
232,SDFO-8MXQXX,Di Reggae Cafe,13593 King George Blvd,Surrey,Restaurant,49.19931412,-122.8455658
233,A020062    ,Ronnie's Restaurant,6542 King George Blvd,Surrey,Restaurant,49.12158585,-122.84510803
234,SYOG-5M57T4,Greco's Specialty Foods Ltd,6886 King George Blvd,Surrey,Restaurant,49.12775803,-122.84516144
